"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.555017188E0,-9.773843922E-3,3.665191354E-3,1.221730490E-3
8.580014063E0,-1.099557430E-2,-3.665191354E-3,-1.221730490E-3
8.605010938E0,-4.886921961E-3,-1.221730490E-3,0.000000000E0
8.630007813E0,-3.665191354E-3,6.108652335E-3,1.221730490E-3
8.655001563E0,-1.221730490E-3,4.886921961E-3,1.221730490E-3
8.680000000E0,-4.886921961E-3,-1.221730490E-3,1.221730490E-3
8.704996875E0,-7.330382708E-3,0.000000000E0,1.221730490E-3
8.725018750E0,-3.665191354E-3,1.221730490E-3,1.221730490E-3
8.750015625E0,-1.221730490E-3,0.000000000E0,-1.221730490E-3
8.775010938E0,-6.108652335E-3,-7.330382708E-3,1.221730490E-3
8.800007813E0,-9.773843922E-3,-8.552113548E-3,0.000000000E0
8.825004688E0,-9.773843922E-3,-1.343903504E-2,1.221730490E-3
8.850001563E0,-7.330382708E-3,-1.343903504E-2,-6.108652335E-3
8.874996875E0,-3.665191354E-3,1.221730490E-3,-8.552113548E-3
8.899993750E0,1.221730490E-3,1.710422710E-2,-1.466076542E-2
8.920017188E0,8.552113548E-3,1.588249579E-2,-1.588249579E-2
8.945012500E0,9.773843922E-3,1.099557430E-2,-7.330382708E-3
8.970009375E0,1.710422710E-2,1.221730467E-2,0.000000000E0
8.995006250E0,1.832595654E-2,3.665191354E-3,6.108652335E-3
9.020003125E0,1.221730467E-2,1.221730467E-2,1.221730490E-3
9.044998438E0,1.832595654E-2,4.764748737E-2,3.665191354E-3
9.069995313E0,7.330382708E-3,5.619960278E-2,4.886921961E-3
9.090018750E0,6.108652335E-3,4.520402849E-2,-4.886921961E-3
9.115014063E0,1.221730467E-2,2.809980139E-2,-2.443460980E-3
9.140010938E0,1.099557430E-2,3.665191354E-3,1.221730490E-3
9.165006250E0,1.466076542E-2,-9.773843922E-3,7.330382708E-3
9.190004688E0,1.221730467E-2,3.665191354E-3,1.221730467E-2
9.215000000E0,1.099557430E-2,9.773843922E-3,1.221730467E-2
9.239996875E0,1.221730490E-3,1.710422710E-2,4.886921961E-3
9.260018750E0,-4.886921961E-3,2.932153083E-2,3.665191354E-3
9.285014063E0,-4.886921961E-3,3.787364438E-2,3.665191354E-3
