"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.086999375E1,2.300000000E1,-4.100000000E1,3.937500000E0
1.089999688E1,2.468750000E1,-4.037500000E1,-7.500000000E-1
1.092999844E1,2.575000000E1,-3.956250000E1,-4.125000000E0
1.096000156E1,2.550000000E1,-3.887500000E1,-6.500000000E0
1.098997188E1,2.587500000E1,-3.893750000E1,-7.437500000E0
1.100999375E1,2.581250000E1,-3.887500000E1,-7.250000000E0
1.103999531E1,2.593750000E1,-3.875000000E1,-7.500000000E0
1.106999688E1,2.550000000E1,-3.862500000E1,-7.250000000E0
1.110000000E1,2.425000000E1,-3.993750000E1,-6.125000000E0
1.113000156E1,2.393750000E1,-4.093750000E1,-5.500000000E0
1.115997188E1,2.287500000E1,-4.093750000E1,-3.375000000E0
1.117999531E1,2.206250000E1,-4.081250000E1,-1.500000000E0
1.120999688E1,2.293750000E1,-4.000000000E1,-8.125000000E-1
1.124000000E1,2.343750000E1,-3.975000000E1,-1.125000000E0
1.127000156E1,2.368750000E1,-3.962500000E1,-2.187500000E0
1.129997188E1,2.337500000E1,-3.912500000E1,-3.750000000E0
1.131999375E1,2.400000000E1,-3.968750000E1,-4.000000000E0
1.134999531E1,2.393750000E1,-4.018750000E1,-2.687500000E0
1.137999688E1,2.331250000E1,-4.037500000E1,-1.312500000E0
1.141000000E1,2.156250000E1,-4.087500000E1,1.437500000E0
1.144000156E1,2.162500000E1,-4.050000000E1,2.250000000E0
1.146997188E1,2.193750000E1,-4.087500000E1,3.062500000E0
1.148999531E1,2.212500000E1,-4.150000000E1,4.125000000E0
1.151999688E1,2.168750000E1,-4.093750000E1,5.437500000E0
1.155000000E1,2.137500000E1,-4.075000000E1,7.250000000E0
1.158000000E1,2.168750000E1,-4.100000000E1,9.250000000E0
1.160997188E1,2.200000000E1,-3.987500000E1,1.018750000E1
1.162999375E1,2.256250000E1,-3.918750000E1,1.100000000E1
1.165999688E1,2.300000000E1,-3.900000000E1,1.350000000E1
1.168999688E1,2.350000000E1,-3.881250000E1,1.500000000E1
1.172000000E1,2.443750000E1,-3.800000000E1,1.612500000E1
