"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.650000000E0,-7.086837292E-1,-9.959878922E-1,9.988609314E0
4.674998438E0,-5.171475410E-1,-9.002198577E-1,9.768342972E0
4.699993750E0,-4.501099288E-1,-9.289502501E-1,9.519346237E0
4.724990625E0,-4.022258818E-1,-1.139639974E0,9.653421402E0
4.745012500E0,-3.447650373E-1,-1.120486379E0,9.844957352E0
4.765020313E0,-2.968810201E-1,-9.289502501E-1,9.873687744E0
4.789998438E0,-2.681505978E-1,-6.895300746E-1,9.854534149E0
4.815018750E0,-2.202665508E-1,-7.182605267E-1,9.749189377E0
4.839993750E0,-1.244984865E-1,-8.906430602E-1,9.825803757E0
4.860014063E0,-1.244984865E-1,-9.576807022E-1,9.873687744E0
4.885012500E0,-1.915361285E-1,-9.768342972E-1,9.864110947E0
4.910007813E0,-3.256114423E-1,-9.481038451E-1,9.854534149E0
4.935004688E0,-3.926490843E-1,-9.289502501E-1,9.758766174E0
4.960000000E0,-4.022258818E-1,-9.097966552E-1,9.682151794E0
4.984996875E0,-4.884171486E-1,-9.385270476E-1,9.634267807E0
5.009993750E0,-5.267243981E-1,-8.810662031E-1,9.758766174E0
5.034990625E0,-5.554547906E-1,-8.810662031E-1,9.806650162E0
5.055040625E0,-4.692635238E-1,-7.469909191E-1,9.806650162E0
5.080009375E0,-4.405331016E-1,-7.374141216E-1,9.749189377E0
5.105006250E0,-3.351882398E-1,-8.236053586E-1,9.787496567E0
5.130001563E0,-2.873041928E-1,-9.289502501E-1,9.806650162E0
5.154998438E0,-2.585737705E-1,-9.768342972E-1,9.825803757E0
5.175025000E0,-2.585737705E-1,-9.193734527E-1,9.806650162E0
5.199985938E0,-2.011129409E-1,-8.619126081E-1,9.797073364E0
5.220007813E0,-2.106897533E-1,-8.714894056E-1,9.768342972E0
5.245004688E0,-2.011129409E-1,-9.002198577E-1,9.797073364E0
5.270000000E0,-1.915361285E-1,-9.576807022E-1,9.825803757E0
5.295009375E0,-1.532289088E-1,-9.385270476E-1,9.873687744E0
5.319993750E0,-1.532289088E-1,-9.002198577E-1,9.806650162E0
5.344990625E0,-1.532289088E-1,-9.002198577E-1,9.777919769E0
5.365029688E0,-1.915361285E-1,-8.714894056E-1,9.777919769E0
5.390009375E0,-2.489969730E-1,-9.097966552E-1,9.739612579E0
5.415004688E0,-3.351882398E-1,-9.385270476E-1,9.739612579E0
5.440001563E0,-3.830722570E-1,-9.385270476E-1,9.806650162E0
5.464998438E0,-4.022258818E-1,-8.523358107E-1,9.844957352E0
5.489995313E0,-4.022258818E-1,-8.044517636E-1,9.806650162E0
5.514992188E0,-3.447650373E-1,-8.331822157E-1,9.806650162E0
5.535014063E0,-2.873041928E-1,-8.906430602E-1,9.768342972E0
5.560009375E0,-2.681505978E-1,-9.097966552E-1,9.730035782E0
5.585007813E0,-2.777273953E-1,-9.193734527E-1,9.739612579E0
5.610003125E0,-2.777273953E-1,-9.289502501E-1,9.797073364E0
5.635001563E0,-2.873041928E-1,-8.906430602E-1,9.816226959E0
5.655031250E0,-2.777273953E-1,-8.810662031E-1,9.835380554E0
5.679987500E0,-2.681505978E-1,-8.714894056E-1,9.777919769E0
5.700009375E0,-2.968810201E-1,-8.619126081E-1,9.777919769E0
5.725006250E0,-3.160346150E-1,-8.810662031E-1,9.758766174E0
5.750001563E0,-3.064578176E-1,-8.906430602E-1,9.768342972E0
5.775001563E0,-3.256114423E-1,-9.002198577E-1,9.806650162E0
5.799995313E0,-2.681505978E-1,-9.193734527E-1,9.797073364E0
5.824992188E0,-2.585737705E-1,-8.810662031E-1,9.816226959E0
5.845014063E0,-2.585737705E-1,-8.810662031E-1,9.816226959E0
