"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.203815624E0,-1.811826348E0,3.689626157E-1,1.600466967E0
6.225566144E0,-2.665815830E0,2.161241293E0,1.314581990E0
6.245651040E0,-3.233920574E0,3.280346394E0,4.605923891E-1
6.265743749E0,-3.414736748E0,2.094046116E0,-4.190535545E-1
6.294012499E0,-2.649933338E0,-3.665191308E-2,-7.574728727E-1
6.314051040E0,-3.282789707E0,4.495968223E-1,-1.751961470E0
6.334978644E0,-4.736649036E0,-1.409876943E0,-1.381777167E0
6.355559894E0,-4.635245323E0,-1.627344966E0,1.893682182E-1
6.383772394E0,-3.051882744E0,-9.321803451E-1,1.185078546E-1
6.403774999E0,-2.245540619E0,4.019493163E-1,5.485569835E-1
6.423810415E0,-1.514945745E0,1.627344966E0,7.061601877E-1
6.446181249E0,-7.049384713E-1,2.091602564E0,7.977899909E-1
6.473856769E0,1.282816976E-1,1.715309620E0,7.672467232E-1
6.494502082E0,8.918632269E-1,1.132544160E0,2.724458873E-1
6.515764061E0,1.642005801E0,3.042109013E-1,6.719517708E-2
6.536255728E0,1.937664509E0,2.638937831E-1,5.400048494E-1
6.563779165E0,2.679255009E0,-5.925392509E-1,4.178318083E-1
6.585560415E0,2.422691584E0,-9.737191796E-1,-4.153883457E-2
6.613830207E0,-2.737897873E0,-2.125810981E-1,-4.129449129E-1
6.635378644E0,-5.437922478E0,1.409876943E0,-8.405505419E-1
6.655536978E0,3.090977967E-1,-1.442863703E0,-6.792821288E-1
6.675622915E0,5.607742667E-1,-2.993239760E-1,3.286454976E-1
6.703771353E0,2.217440844E0,-2.208888769E0,8.674286604E-1
6.723790624E0,4.061032295E0,-3.733608246E0,9.016370773E-1
6.744107290E0,4.257730484E0,-1.679879427E0,-1.028697014E0
6.765779165E0,2.805093050E0,1.043357849E0,-5.731137753E0
6.794487498E0,3.958406687E0,-6.597344577E-2,2.538755894E0
6.815864582E0,4.995656013E0,-3.543018401E-1,1.516167521E0
6.836266665E0,4.037819386E0,-4.202752709E-1,-5.082398653E-1
6.863986978E0,2.210110426E0,-1.747074604E0,-1.280373573E0
6.885544790E0,2.229658127E0,-2.091602564E0,-8.148941994E-1
6.905766144E0,1.583362699E0,-1.998751044E0,-2.150245607E-1
6.947483853E0,3.176499158E-2,4.752531648E-1,1.600466967E-1
6.973949998E0,-1.299921274E0,1.894904017E0,1.784948230E0
6.994020311E0,-2.301740170E0,1.389107585E0,1.825265288E0
7.014091665E0,-2.367713690E0,2.693915606E0,1.227839112E0
7.035515623E0,-3.215594530E0,3.964515448E0,-7.941248268E-2
7.055540623E0,-3.083647728E0,1.761735320E0,-5.057964325E-1
7.075565103E0,-2.713463306E0,1.336573124E0,-9.285151362E-1
7.095676561E0,-3.651752472E0,-7.733553648E-1,-1.681101084E0
7.115770832E0,-5.297423363E0,-2.350609541E0,-4.899139106E-1
7.136250519E0,-4.030488968E0,-2.052507162E0,6.841690838E-2
7.163979686E0,-2.883283854E0,-1.240056396E0,1.466076523E-1
7.185559894E0,-2.269975185E0,1.391551018E0,4.618141055E-1
7.214421353E0,-1.337794900E0,2.422691584E0,5.778785348E-1
7.235454165E0,-5.400048494E-1,1.896125674E0,4.825835228E-1
7.255544269E0,1.123992056E-1,1.284038782E0,2.614503205E-1
7.283802082E0,1.281595230E0,6.597344577E-2,-5.864306167E-2
7.303973957E0,1.775174379E0,-1.251052022E0,3.799581826E-1
7.325559373E0,4.345695496E0,-1.086118340E0,3.481931984E-1
7.345758332E0,4.145331383E0,-7.293730974E-1,2.565634064E-2
7.373964582E0,-2.635272741E0,-3.164281845E-1,4.251621962E-1
7.393995311E0,-4.605923653E0,9.492845535E-1,-7.586946487E-1
7.415794269E0,-2.873510122E0,2.999348402E0,-4.031710625E-1
7.446044790E0,-7.330383062E-1,-4.346917152E0,-3.591887653E-1
7.473843748E0,6.805038452E-1,-4.593706429E-1,7.794640660E-1
7.494041665E0,2.895501137E0,-2.028072596E0,1.122770309E0
7.515756769E0,3.863111734E0,-2.643824816E0,4.581489265E-1
7.536340103E0,4.414112091E0,-1.841147780E0,-4.946786880E0
7.563784894E0,2.641381264E0,1.072679400E0,-6.560692787E-1
7.584386457E0,4.915021896E0,3.921754956E-1,2.576629639E0
7.605563540E0,4.620584488E0,6.108652353E-1,3.750712574E-1
7.625794269E0,2.900388241E0,-6.976081133E-1,-1.268156171E0
7.653935936E0,2.803871393E0,-2.078163624E0,-1.133765936E0
7.674101561E0,2.459343433E0,-2.608394623E0,-6.609562039E-1
7.695586457E0,8.967501521E-1,-1.937664509E0,-1.551597714E-1
7.715789061E0,-3.543018550E-2,1.270599663E-1,3.775147200E-1
7.736134373E0,-9.822713137E-1,2.774549961E0,1.251052022E0
7.763799478E0,-2.434908867E0,1.009149313E0,1.860695481E0
7.785546353E0,-2.478891134E0,2.258979559E0,1.076344490E0
7.805566144E0,-2.995683193E0,3.616322279E0,5.864306167E-2
7.825568748E0,-3.447723389E0,1.988977194E0,-6.438519359E-1
7.854081769E0,-2.862514496E0,7.049384713E-1,-9.969320893E-1
7.875549477E0,-4.393342972E0,-1.505171895E0,-1.089783549E0
7.895565102E0,-5.337740421E0,-1.688431501E0,-3.506366313E-1
7.915762498E0,-3.661526203E0,-1.722639918E0,-3.860668242E-1
7.947443227E0,-2.828305960E0,5.962044597E-1,3.543018401E-1
7.974013019E0,-2.213775635E0,1.976759911E0,2.919935882E-1
7.995556248E0,-1.332907915E0,1.728748560E0,3.506366313E-1
8.015771352E0,-3.665191531E-1,9.883799553E-1,4.520402849E-1
8.036169790E0,5.375614166E-1,7.684684396E-1,2.602286041E-1
8.063810415E0,1.530828238E0,3.090977967E-1,-1.197295859E-1
8.085563019E0,1.546710730E0,-1.219287038E0,3.995058537E-1
8.105753123E0,4.112344742E0,-1.382998943E0,7.977899909E-1
8.134879686E0,3.866776943E0,-1.291369081E0,2.981022298E-1
8.155546352E0,-3.043330669E0,-6.108652353E-1,1.209513173E-1
8.175566665E0,-3.718947649E0,1.255938888E0,-1.248608589E0
8.203766144E0,-3.375641346E0,3.307224274E0,-3.775147200E-1
8.223811457E0,-9.236282110E-1,-3.456275463E0,-5.485569835E-1
8.244102082E0,5.925392509E-1,-1.148426607E-1,4.899139106E-1
8.266223957E0,3.811799049E0,-2.230879784E0,1.291369081E0
8.294026561E0,3.827681541E0,-2.698802710E0,2.321287841E-1
8.315794790E0,3.291341782E0,-8.478809595E-1,-5.193576336E0
8.336274998E0,3.412293196E0,1.389107585E0,-2.287079334E0
8.363964582E0,5.281540871E0,1.343903504E-2,3.061656475E0
8.385555727E0,4.653571606E0,5.070181489E-1,2.296853215E-1
8.413973436E0,2.239431858E0,-3.005456924E-1,-1.023810148E0
8.446970311E0,1.908342957E0,-1.718974829E0,-7.367034554E-1
8.473836977E0,8.454374671E-1,-1.858252048E0,-2.565633953E-1
8.494283332E0,7.086037099E-2,-9.896016717E-1,-3.420845419E-2
8.515740102E0,-9.456194043E-1,1.626123309E0,1.083674908E0
8.536146352E0,-1.881464958E0,1.407433510E0,1.673770785E0
8.564469269E0,-2.210110426E0,1.508837104E0,1.110553026E0
8.585755207E0,-2.794097662E0,2.944370508E0,1.099557430E-2
8.613796352E0,-2.924822807E0,1.381777167E0,-7.086036801E-1
8.635436457E0,-2.950479031E0,1.089783549E0,-1.270599723E0
8.655540623E0,-4.184426785E0,-1.501506805E0,-9.443976283E-1
8.675560936E0,-5.429370403E0,-1.273043156E0,1.026253626E-1
8.703932811E0,-3.341432810E0,-1.297477722E0,-1.930334121E-1
8.725556769E0,-2.822197437E0,7.501425147E-1,4.471533597E-1
8.745756248E0,-2.475225925E0,1.803274155E0,7.049384713E-1
8.765793748E0,-1.799608946E0,1.827708840E0,5.265658498E-1
8.794020832E0,-4.679227769E-1,1.610240817E0,2.981022298E-1
8.814116144E0,4.483750761E-1,1.568701982E0,1.612684280E-1
8.834873957E0,1.199739337E0,1.048244715E0,-2.003637999E-1
8.855539061E0,1.391551018E0,-2.956587672E-1,-2.638937831E-1
8.875563540E0,2.199114799E0,-7.916813493E-1,4.251621962E-1
8.903793227E0,4.151440144E0,-4.960225821E-1,1.050688177E-1
8.925560415E0,1.315803766E0,-1.596801758E0,6.462954283E-1
8.947619269E0,-4.192978859E0,-1.733635545E0,-9.896016866E-2
8.973994790E0,-3.725056171E0,3.348763227E0,-3.115412593E-1
8.994082811E0,-8.161159754E-1,-7.489207983E-1,-4.190535545E-1
9.015767706E0,1.979203373E-1,-2.272418737E-1,3.982841372E-1
9.036210936E0,2.373822212E0,-2.003637999E-1,9.126326442E-1
9.063798436E0,4.012162685E0,-3.931528568E0,9.505063295E-1
9.083989061E0,4.902804375E0,-1.742187619E0,-6.524040699E-1
9.104064061E0,6.195394993E0,8.979718685E-1,-6.238155842E0
9.124100519E0,3.016452551E0,1.372003317E0,2.415361166E0
9.145758852E0,4.729318619E0,8.894197941E-1,2.772106409E0
9.174003123E0,3.327993870E0,-2.321287990E-2,-3.836233616E-1
9.194296352E0,2.006081343E0,-7.745771408E-1,-1.077566266E0
9.215799477E0,2.024407387E0,-2.128254414E0,-9.065240026E-1
