"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.373592186E0,2.106250000E1,-3.993750000E1,2.000000000E1
9.393603123E0,2.037500000E1,-4.081250000E1,1.793750000E1
9.413648436E0,2.025000000E1,-4.162500000E1,1.562500000E1
9.446270311E0,2.087500000E1,-4.212500000E1,1.287500000E1
9.473616144E0,2.031250000E1,-4.300000000E1,7.812500000E0
9.493827081E0,2.018750000E1,-4.368750000E1,3.437500000E0
9.523605727E0,2.043750000E1,-4.368750000E1,-1.062500000E0
9.543761977E0,2.087500000E1,-4.293750000E1,-3.187500000E0
9.573414581E0,2.175000000E1,-4.231250000E1,-4.812500000E0
9.593935415E0,2.162500000E1,-4.262500000E1,-5.437500000E0
9.623359373E0,2.156250000E1,-4.318750000E1,-4.625000000E0
9.643665102E0,2.181250000E1,-4.300000000E1,-3.312500000E0
9.673816144E0,2.237500000E1,-4.312500000E1,-1.375000000E0
9.703568227E0,2.218750000E1,-4.368750000E1,1.562500000E0
9.734518748E0,2.043750000E1,-4.425000000E1,3.125000000E0
9.763396352E0,1.968750000E1,-4.425000000E1,0.000000000E0
9.783601040E0,2.050000000E1,-4.343750000E1,-2.687500000E0
9.813396352E0,2.137500000E1,-4.256250000E1,-4.312500000E0
9.834471352E0,2.200000000E1,-4.281250000E1,-3.750000000E0
9.863413019E0,2.150000000E1,-4.337500000E1,-1.562500000E0
9.883438540E0,2.087500000E1,-4.412500000E1,6.250000000E-1
9.913394269E0,2.381250000E1,-4.287500000E1,5.812500000E0
9.947782811E0,2.293750000E1,-4.162500000E1,1.100000000E1
9.973776040E0,2.031250000E1,-4.056250000E1,1.656250000E1
1.000338073E1,2.062500000E1,-3.925000000E1,2.125000000E1
1.003522604E1,2.243750000E1,-3.818750000E1,2.081250000E1
1.006338802E1,2.343750000E1,-3.812500000E1,1.931250000E1
1.008376562E1,2.231250000E1,-3.937500000E1,1.775000000E1
1.011340573E1,2.018750000E1,-4.125000000E1,1.493750000E1
1.013411406E1,1.925000000E1,-4.256250000E1,1.337500000E1
1.016337812E1,1.912500000E1,-4.356250000E1,9.687500000E0
1.018356979E1,2.031250000E1,-4.362500000E1,6.312500000E0
1.021361562E1,2.231250000E1,-4.343750000E1,1.687500000E0
1.023444687E1,2.312500000E1,-4.262500000E1,-2.062500000E0
1.026359323E1,2.312500000E1,-4.175000000E1,-8.437500000E0
1.029361771E1,2.218750000E1,-4.087500000E1,-1.287500000E1
1.032338177E1,2.137500000E1,-4.012500000E1,-1.500000000E1
1.034363385E1,2.131250000E1,-3.943750000E1,-1.662500000E1
1.037339635E1,2.225000000E1,-3.987500000E1,-1.731250000E1
1.039362656E1,2.231250000E1,-3.993750000E1,-1.581250000E1
1.042359583E1,2.218750000E1,-3.937500000E1,-1.356250000E1
1.044629844E1,2.256250000E1,-4.050000000E1,-1.187500000E1
1.047361562E1,2.175000000E1,-4.193750000E1,-9.562500000E0
1.049383542E1,2.037500000E1,-4.200000000E1,-8.500000000E0
1.052353489E1,1.968750000E1,-4.350000000E1,-7.187500000E0
1.054364739E1,2.000000000E1,-4.375000000E1,-7.750000000E0
1.057343750E1,2.237500000E1,-4.137500000E1,-1.118750000E1
1.059381718E1,2.493750000E1,-4.075000000E1,-1.256250000E1
1.062362031E1,2.575000000E1,-4.087500000E1,-1.062500000E1
1.064388854E1,2.331250000E1,-4.168750000E1,-7.812500000E0
1.067359896E1,2.068750000E1,-4.375000000E1,-3.312500000E0
1.069374219E1,2.162500000E1,-4.387500000E1,2.500000000E-1
