"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.934989062E0,5.949827433E-1,-6.010913849E-1,4.153883457E-2
5.959985937E0,1.039692640E0,-4.691444933E-1,2.150245607E-1
5.984981250E0,9.334020615E-1,-8.784242272E-1,1.136209369E-1
6.005004687E0,1.229060888E0,-2.321287841E-1,9.773843735E-2
6.030000000E0,1.188743711E0,-4.349360466E-1,7.330382615E-2
6.050006250E0,1.142318010E0,-5.033529401E-1,-2.443460980E-3
6.074987500E0,1.290147424E0,-4.202752709E-1,5.864306167E-2
6.099985937E0,1.116661668E0,-8.136724830E-1,2.247984111E-1
6.124981250E0,1.351233959E0,-6.010913849E-1,3.042109013E-1
6.145003125E0,1.516167521E0,-1.007927656E0,3.897320330E-1
6.170000000E0,1.679879427E0,-8.234463334E-1,3.200933933E-1
6.190010937E0,1.764178753E0,-8.698720932E-1,2.394591719E-1
6.214985937E0,1.645670891E0,-8.772024512E-1,2.590068579E-1
6.239984375E0,1.571145415E0,-6.414085031E-1,2.651154995E-1
6.260006250E0,1.650557876E0,-6.194173694E-1,2.467895597E-1
6.285001562E0,1.580919266E0,-6.157521605E-1,1.893682182E-1
6.309998437E0,1.546710730E0,-4.251621962E-1,5.131268129E-2
6.330017187E0,1.511280537E0,-4.557054639E-1,4.276056588E-2
6.354985937E0,1.386664033E0,-3.555235565E-1,-7.696902007E-2
6.379982812E0,1.176526427E0,-2.968805134E-1,-2.162462920E-1
6.400004687E0,9.162978530E-1,-2.394591719E-1,-2.932153046E-1
6.425001562E0,8.796459436E-1,-2.186897546E-1,-4.373795092E-1
6.449996875E0,1.122770309E0,-2.113593668E-1,-6.450737119E-1
6.470034375E0,1.199739337E0,-1.258382350E-1,-6.939429045E-1
6.494984375E0,1.167974353E0,-1.356120855E-1,-5.668829679E-1
6.519981250E0,9.908233881E-1,-8.552113548E-3,-2.871066630E-1
6.540003125E0,8.356636167E-1,2.076941729E-2,-7.574728876E-2
6.565000000E0,7.843509912E-1,1.099557430E-2,1.343903504E-2
6.589996875E0,7.916813493E-1,-3.054326214E-2,1.380555481E-1
6.614993750E0,6.035348773E-1,-2.321287990E-2,2.504547536E-1
6.639990625E0,4.190535545E-1,-7.696902007E-2,3.555235565E-1
6.664985937E0,2.455678284E-1,-3.543018401E-1,5.619960427E-1
6.689982812E0,5.497787148E-2,-2.089159042E-1,5.803219676E-1
