"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.364981250E0,-4.979939461E-1,5.363011837E0,7.757213593E0
5.385003125E0,5.746083856E-1,4.510675907E0,8.667010307E0
5.410001562E0,1.417367458E0,3.993528366E0,9.873687744E0
5.434996875E0,8.810662031E-1,3.256114244E0,8.724471092E0
5.459993750E0,2.873042040E-2,2.700659513E0,8.599972725E0
5.484989062E0,2.202665508E-1,3.323152065E0,9.117119789E0
5.509992187E0,-1.254561663E0,3.409343243E0,1.046745014E1
5.534982812E0,-1.695094824E0,3.447650433E0,1.015141487E1
5.555004687E0,-2.049436569E0,2.489969730E0,9.567230225E0
5.580001562E0,-7.469909191E-1,1.790862918E0,9.452308655E0
5.604998437E0,-3.639186621E-1,2.806004286E0,8.590395927E0
5.630028125E0,-7.757213712E-1,2.882618904E0,7.814674377E0
5.654990625E0,-7.757213712E-1,7.661445141E-1,8.590395927E0
5.679987500E0,-1.331176162E0,-4.309563041E-1,9.040505409E0
5.699993750E0,-2.719813108E0,3.830722719E-2,9.184157372E0
5.720001562E0,-3.351882458E0,5.267243981E-1,7.565677166E0
5.744996875E0,-3.840299606E0,-1.723825186E-1,8.868123055E0
5.770031250E0,-4.328716755E0,-1.915361285E-1,9.730035782E0
5.794989062E0,-1.982398987E0,-1.551442742E0,1.021845245E1
5.819985937E0,-5.937620401E-1,-5.841852427E-1,8.350975990E0
5.839987500E0,-1.857900500E0,1.063025594E0,9.270348549E0
5.860000000E0,-1.570596337E0,2.643198729E0,8.236053467E0
5.884995312E0,-1.254561663E0,1.072602391E0,8.523358345E0
5.909992187E0,-2.729389906E0,4.022258818E-1,8.274360657E0
5.934989062E0,-2.116474390E0,0.000000000E0,9.528923035E0
5.959985937E0,-9.576807022E-1,4.788403213E-2,8.877699852E0
5.984981250E0,-1.110909581E0,1.244984865E-1,1.092713642E1
6.005004687E0,2.394201756E-1,7.469909191E-1,9.509769440E0
6.030000000E0,-4.022258818E-1,1.733402014E0,8.523358345E0
6.050006250E0,-1.053448796E0,1.991975784E0,9.548076630E0
6.074987500E0,-2.394201756E-1,1.848323703E0,6.809109688E0
6.099985937E0,-2.173935175E0,1.695094824E0,8.628703117E0
6.124981250E0,-7.086837292E-1,1.723825216E0,9.423578262E0
6.145003125E0,-8.619125932E-2,1.848323703E0,9.864110947E0
6.170000000E0,5.171475410E-1,2.901772499E0,9.615114212E0
6.190010937E0,1.292868972E0,4.050989151E0,8.599972725E0
6.214985937E0,4.979939461E-1,4.558559895E0,9.366117477E0
6.239984375E0,6.129156351E-1,4.568136692E0,9.126696587E0
6.260006250E0,9.289502501E-1,4.386177540E0,7.910442352E0
6.285001562E0,3.064578176E-1,4.520252705E0,8.475474358E0
6.309998437E0,2.873042040E-2,5.181052685E0,8.312667847E0
6.330017187E0,4.788403213E-2,5.765237808E0,8.590395927E0
6.354985937E0,1.216254473E0,6.914454460E0,7.565677166E0
6.379982812E0,9.768342972E-1,7.498639584E0,7.220912457E0
6.400004687E0,1.063025594E0,7.029376030E0,7.278373241E0
6.425001562E0,1.264138460E0,5.123591423E0,9.174580574E0
6.449996875E0,1.273715258E0,5.669469833E0,8.868123055E0
6.470034375E0,5.650315881E-1,7.431602001E0,7.900865555E0
6.494984375E0,3.830722570E-1,9.327810287E0,6.617573261E0
6.519981250E0,9.576806426E-2,9.615114212E0,6.607996464E0
6.540003125E0,5.554547906E-1,8.456320763E0,6.837840080E0
6.565000000E0,1.139639974E0,6.617573261E0,6.512228489E0
6.589996875E0,1.168370485E0,5.755661011E0,6.253654957E0
6.614993750E0,1.024718285E0,6.713341713E0,6.014234543E0
6.639990625E0,1.120486379E0,8.236053467E0,6.148310184E0
6.664985937E0,1.072602391E0,9.078812599E0,7.431602001E0
6.689982812E0,2.212242365E0,9.672574997E0,7.632715225E0
6.710006250E0,2.853888512E0,9.567230225E0,7.498639584E0
6.735001562E0,2.327163935E0,8.801085472E0,6.387730122E0
6.759998437E0,1.063025594E0,7.977479935E0,5.631162167E0
6.784993750E0,6.224924326E-1,7.249642849E0,5.525817394E0
6.809990625E0,9.289502501E-1,7.508216381E0,6.454767704E0
6.834987500E0,9.768342972E-1,7.393294811E0,5.975927353E0
6.859984375E0,1.024718285E0,7.584830761E0,5.640739441E0
6.880006250E0,1.340752959E0,7.987056732E0,6.569689274E0
6.905001562E0,1.474828243E0,9.279925346E0,7.805097580E0
6.930000000E0,4.979939461E-1,1.008437729E1,9.279925346E0
6.950004687E0,7.948749661E-1,9.471462250E0,8.379706383E0
6.974985937E0,2.624045134E0,7.718906403E0,7.048529625E0
6.999982812E0,3.418920040E0,6.531382084E0,6.742072105E0
7.020006250E0,3.361459255E0,5.726930618E0,6.761225700E0
7.045001562E0,2.135627985E0,5.018246651E0,7.105990410E0
7.070031250E0,7.948749661E-1,4.845864296E0,8.513781548E0
