"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.059500156E1,-4.750000000E0,6.562500000E0,-4.462500000E1
1.062500313E1,-5.375000000E0,7.500000000E0,-4.350000000E1
1.065500625E1,-5.750000000E0,9.687500000E0,-4.243750000E1
1.068497656E1,-5.375000000E0,1.156250000E1,-4.281250000E1
1.070499844E1,-5.062500000E0,1.193750000E1,-4.243750000E1
1.073500156E1,-6.125000000E0,1.143750000E1,-4.262500000E1
1.076500312E1,-7.250000000E0,1.125000000E1,-4.262500000E1
1.079500469E1,-7.187500000E0,1.056250000E1,-4.256250000E1
1.082497344E1,-7.562500000E0,9.625000000E0,-4.243750000E1
1.084499844E1,-8.125000000E0,9.250000000E0,-4.275000000E1
1.087499844E1,-8.750000000E0,7.937500000E0,-4.318750000E1
1.090500156E1,-9.250000000E0,5.937500000E0,-4.325000000E1
1.093500313E1,-1.031250000E1,3.312500000E0,-4.375000000E1
1.096500625E1,-1.193750000E1,8.750000000E-1,-4.337500000E1
1.099497656E1,-1.318750000E1,-1.875000000E-1,-4.325000000E1
1.101499844E1,-1.387500000E1,-1.187500000E0,-4.306250000E1
1.104500000E1,-1.443750000E1,-4.062500000E0,-4.237500000E1
1.107500312E1,-1.537500000E1,-7.125000000E0,-4.168750000E1
1.110500469E1,-1.731250000E1,-9.500000000E0,-4.075000000E1
1.113497500E1,-1.843750000E1,-1.193750000E1,-3.881250000E1
1.115499688E1,-1.831250000E1,-1.325000000E1,-3.843750000E1
1.118500000E1,-1.881250000E1,-1.493750000E1,-3.856250000E1
1.121500156E1,-1.950000000E1,-1.687500000E1,-3.787500000E1
1.124500312E1,-1.993750000E1,-1.893750000E1,-3.662500000E1
1.127500625E1,-2.093750000E1,-2.050000000E1,-3.531250000E1
1.130497656E1,-2.068750000E1,-2.237500000E1,-3.562500000E1
1.132499844E1,-2.068750000E1,-2.237500000E1,-3.562500000E1
1.135500000E1,-2.062500000E1,-2.331250000E1,-3.487500000E1
1.138500312E1,-2.068750000E1,-2.387500000E1,-3.468750000E1
